"Path","LineNumber","Line"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00409130_FUN_00409130.c","32","    FUN_00444690(local_50,s____data_font_03i_tim_0045bd70,iVar3);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00409240_FUN_00409240.c","107","  iVar5 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00409240_FUN_00409240.c","113","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00409730_FUN_00409730.c","128","  iVar6 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00409730_FUN_00409730.c","134","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00409d10_FUN_00409d10.c","81","  iVar5 = FUN_00425900(s____data_GAMEOVER_TIM_0045be20);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040a140_FUN_0040a140.c","30","  iVar2 = FUN_004056f0(s____data_credit_txt_0045be48,&DAT_0045be5c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040a140_FUN_0040a140.c","45","  uVar4 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040a140_FUN_0040a140.c","48","  FUN_00444690(&stack0x00000030,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040aef0_FUN_0040aef0.c","56","  uVar6 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040aef0_FUN_0040aef0.c","59","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040b290_FUN_0040b290.c","110","  iVar9 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040b290_FUN_0040b290.c","114","    FUN_00444690(local_21c,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040bec0_FUN_0040bec0.c","87","  iVar9 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040bec0_FUN_0040bec0.c","93","  FUN_00444690(local_f0,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040c460_FUN_0040c460.c","88","  iVar5 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040c460_FUN_0040c460.c","94","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040c8d0_FUN_0040c8d0.c","161","  iVar8 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040c8d0_FUN_0040c8d0.c","167","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040d210_FUN_0040d210.c","183","  iVar5 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040d210_FUN_0040d210.c","189","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040d960_FUN_0040d960.c","165","  iVar8 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040d960_FUN_0040d960.c","171","  FUN_00444690(local_50,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040e600_FUN_0040e600.c","172","  iVar16 = FUN_00425900(s____data_TITLEBACK_TIM_0045bd9c);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0040e600_FUN_0040e600.c","177","  FUN_00444690(local_58,s____data_TITLE_d_TIM_0045bd88,DAT_0053e848);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00420750_thunk_FUN_004216c0.c","16","    FUN_00421830(s____data_MENU1_aif_004a08e4,&iStack_4);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\00420750_thunk_FUN_004216c0.c","36","    FUN_00421830(s____data_MENU2_aif_004a08d0,&iStack_4);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\004216c0_FUN_004216c0.c","16","    FUN_00421830(s____data_MENU1_aif_004a08e4,&local_4);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\004216c0_FUN_004216c0.c","36","    FUN_00421830(s____data_MENU2_aif_004a08d0,&local_4);"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0042bff0_FUN_0042bff0.c","112","    local_1b0 = &PTR_s____BZE_TITLE_BZE_1_004a16f8 + param_1 * 8;"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0042bff0_FUN_0042bff0.c","113","    pcVar6 = (&PTR_s____BZE_TITLE_BZE_1_004a16f8)[param_1 * 8];"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0042bff0_FUN_0042bff0.c","167","    local_1b0 = &PTR_s____BZE_TITLE_BZE_1_004a16f8 + param_1 * 8;"
"C:\Users\patte\QeffectsGL\reverse\jdpc\decompiled\0042bff0_FUN_0042bff0.c","168","    DAT_004e1be0 = FUN_0042bd90((&PTR_s____BZE_TITLE_BZE_1_004a16f8)[param_1 * 8]);"
